Taxon,Food Type,CPE%,CFE%,WSCE%
SMOM,Ripe fruit flesh,5.534779357,22.21391174,72.2513089
BCRA,Ripe fruit flesh,10.57268722,49.55947137,39.86784141
PPLA,Ripe fruit flesh,8.101638741,5.800036826,86.09832443
FHON,Ripe fruit flesh,9.972730814,17.8807947,72.14647448
MTIN,Ripe fruit flesh,12.6625212,38.15715093,49.18032787
BPLU,Ripe fruit flesh,12.12413525,4.151198484,83.72466626
CATA,Invertebrate,50.05196425,40.96861359,8.979422158
ESAL,Ripe fruit flesh,4.432132964,8.725761773,86.84210526
FOVA,Ripe fruit flesh,4.15879017,9.640831758,86.20037807
GMAC,Ripe fruit flesh,7.196401799,11.24437781,81.55922039
MNOB,Ripe fruit flesh,17.44186047,57.55813953,25
AOCC,Ripe fruit flesh,25.38638606,67.77375863,6.839855311
SEXC,Ripe fruit flesh,12.84524767,33.46525051,53.68950182
LINS,Invertebrate,59.77947413,39.54198473,0.678541137
KATY,Invertebrate,59.77947413,39.54198473,0.678541137
LGRA,Invertebrate,59.77947413,39.54198473,0.678541137
CPEL,Ripe fruit flesh,11.77477323,20.79411261,67.43111415
INSE,Invertebrate,75.66257573,22.73419295,1.603231319
CRIK,Invertebrate,80,15.70469799,4.295302013
CPAN,Ripe fruit flesh,10.25280899,29.07303371,60.6741573
FCOT,Ripe fruit flesh,16.0235448,30.01962067,53.95683453
COKR,Invertebrate,78.23144597,18.06902775,3.69952628
CSPI,Ripe fruit flesh,12.24122412,21.87218722,65.88658866
SGRA,Invertebrate,80,15.70469799,4.295302013
CICA,Invertebrate,82.21662469,14.96221662,2.82115869
HIVE,Invertebrate,50.69984448,24.72783826,24.57231726
ANTS,Invertebrate,58.08225327,39.33681198,2.580934747
DSAL,Ripe fruit flesh,20.10582011,11.11111111,68.78306878
SCRU,Invertebrate,82.21662469,14.96221662,2.82115869
MAYA,Invertebrate,82.21662469,14.96221662,2.82115869
SCOR,Invertebrate,64.38112199,32.0569902,3.561887801
GAME,Ripe fruit flesh,16.52482529,22.15214605,61.32302866
SOBO,Ripe fruit flesh,15.66407172,81.3163482,3.01958009
JPUN,Ripe fruit flesh,12.81070746,10.3250478,76.86424474
QOLE,Ripe fruit flesh,17.5632118,16.56758112,65.86920708
BPOL,Ripe fruit flesh,37.70921557,3.085299456,59.20548498
ACOL,Ripe fruit flesh,15.55493496,3.442485606,81.00257943
LCAN,Seed,29.99349631,53.54068633,16.46581736
LSOR,Grass,26.51475919,68.51372346,4.971517349
LSPE,Seed,29.12867482,61.71239318,9.158932003
FUNK,Ripe fruit flesh,9.002349587,17.36846274,73.62918768
GBAR,Ripe fruit flesh,12.88104477,28.28868207,58.83027316
MQUI,Ripe fruit flesh,12.88104477,28.28868207,58.83027316
SHAZ,Ripe fruit flesh,12.88104477,28.28868207,58.83027316
CVER,Ripe fruit flesh,12.88104477,28.28868207,58.83027316
CGUA,Ripe fruit flesh,12.88104477,28.28868207,58.83027316
PCUR,Ripe fruit flesh,12.88104477,28.28868207,58.83027316
PHOR,Ripe fruit flesh,12.88104477,28.28868207,58.83027316
BSIM,Pith,18.25242718,15.72815534,66.01941748
IVER,Ripe fruit flesh,46.48408586,9.992598075,43.52331606
BEET,Invertebrate,31.53285803,58.23775573,10.22938624
SNAI,Invertebrate,59.28653625,35.00575374,5.707710012
SPID,Invertebrate,73.11466218,19.93271657,6.95262125
MOTH,Invertebrate,25.8594463,70.36811682,3.772436873
DRAG,Invertebrate,52.8495177,42.71763326,4.432849039
COCO,Invertebrate,59.28653625,35.00575374,5.707710012
TERM,Invertebrate,26.8042019,55.87242595,17.32337214
