Taxon,Food Type,WSCCF%,CP%,NDF%
SMOM,Ripe fruit flesh,73.47294939,4.304828389,22.22222222
BCRA,Ripe fruit flesh,47.42990654,5.607476636,46.96261682
PPLA,Ripe fruit flesh,40.214326,3.545242124,56.24043187
FHON,Ripe fruit flesh,59.94811933,6.640726329,33.41115435
MTIN,Ripe fruit flesh,68.69719876,9.959982214,21.34281903
BPLU,Ripe fruit flesh,73.69633874,10.16780183,16.13585943
CATA,Invertebrate,47.53709199,47.63600396,4.826904055
ESAL,Ripe fruit flesh,79.95365006,3.707995365,16.33835458
FOVA,Ripe fruit flesh,76.62468514,3.324937028,20.05037783
GMAC,Ripe fruit flesh,50.77932732,3.937653815,45.28301887
MNOB,Ripe fruit flesh,27.87046124,5.888125613,66.24141315
AOCC,Ripe fruit flesh,49.9229923,16.98569857,33.09130913
SEXC,Ripe fruit flesh,55.70720747,8.210371298,36.08242123
LINS,Invertebrate,37.84517159,56.24900239,5.905826018
KATY,Invertebrate,37.84517159,56.24900239,5.905826018
LGRA,Invertebrate,37.84517159,56.24900239,5.905826018
CPEL,Ripe fruit flesh,58.82688577,7.851192514,33.32192172
INSE,Invertebrate,21.50446122,66.85518188,11.6403569
CRIK,Invertebrate,18.52772942,74.11091768,7.361352897
CPAN,Ripe fruit flesh,52.80991736,6.033057851,41.15702479
FCOT,Ripe fruit flesh,44.25551471,8.444393382,47.30009191
COKR,Invertebrate,20,71.87564767,8.124352332
CSPI,Ripe fruit flesh,27.70673487,3.8647343,68.42853083
SGRA,Invertebrate,18.52772942,74.11091768,7.361352897
CICA,Invertebrate,15.83669807,73.2166891,10.94661283
HIVE,Invertebrate,47.81297134,49.17043741,3.016591252
ANTS,Invertebrate,34.90632154,48.36705135,16.72662711
DSAL,Ripe fruit flesh,21.78932179,5.483405483,72.72727273
SCRU,Invertebrate,15.83669807,73.2166891,10.94661283
MAYA,Invertebrate,15.83669807,73.2166891,10.94661283
SCOR,Invertebrate,32.546786,58.8283157,8.624898291
GAME,Ripe fruit flesh,48.47582744,9.596321085,41.92785147
SOBO,Ripe fruit flesh,62.07674944,11.52977948,26.39347109
JPUN,Ripe fruit flesh,50.33112583,7.395143488,42.27373068
QOLE,Ripe fruit flesh,56.02940461,11.93710141,32.03349399
BPOL,Ripe fruit flesh,24.60374353,14.89446436,60.50179211
ACOL,Ripe fruit flesh,71.6547463,13.19893493,15.14631877
LCAN,Seed,50.484178,21.62937622,27.88644577
LSOR,Grass,34.05327574,12.28701704,53.65970722
LSPE,Seed,41.90257464,17.22228938,40.87513598
FUNK,Ripe fruit flesh,60.97146799,6.031875188,32.99665682
GBAR,Ripe fruit flesh,52.91651741,7.824015197,39.25946739
MQUI,Ripe fruit flesh,52.91651741,7.824015197,39.25946739
SHAZ,Ripe fruit flesh,52.91651741,7.824015197,39.25946739
CVER,Ripe fruit flesh,52.91651741,7.824015197,39.25946739
CGUA,Ripe fruit flesh,52.91651741,7.824015197,39.25946739
PCUR,Ripe fruit flesh,52.91651741,7.824015197,39.25946739
PHOR,Ripe fruit flesh,52.91651741,7.824015197,39.25946739
BSIM,Pith,29.5024527,6.587245971,63.91030133
IVER,Ripe fruit flesh,22.18471924,19.26971464,58.54556612
BEET,Invertebrate,64.14258748,29.54116451,6.316248003
SNAI,Invertebrate,37.09373034,54.01551688,8.890752778
SPID,Invertebrate,23.4417013,63.74969445,12.80860425
MOTH,Invertebrate,66.89541587,23.33241834,9.772165797
DRAG,Invertebrate,42.36435192,47.48489215,10.15075593
COCO,Invertebrate,37.09373034,54.01551688,8.890752778
TERM,Invertebrate,64.18903189,23.50593635,12.30503176
